image,subj_ident_pre,subj_ident_gray,subj_ident_post,verbal_acc_pre,verbal_acc_gray,verbal_acc_post,sem_dist_pre,sem_dist_gray,sem_dist_post,sem_entropy_pre,sem_entropy_gray,sem_entropy_post,diff_mean_subj_ident,diff_mean_verbal_acc,diff_mean_sem_dist,diff_mean_sem_entropy,info_gain_sem_dist,info_gain_entropy,info_gain_sem_dist_gray,info_gain_entropy_gray
airplane,0.4736842105263157,1.0,0.8421052631578947,0.2631578947368421,0.4210526315789473,0.3684210526315789,0.2557484345836362,0.0,0.059370389704752,2.450825794518088,1.41379956460568,1.5510981710072649,0.368421052631579,0.10526315789473684,-0.19637804487888422,-0.8997276235108229,0.19637804487888422,0.8997276235108229,0.2557484345836362,1.0370262299124078
album,0.6086956521739131,1.0,1.0,0.0434782608695652,0.217391304347826,0.2608695652173913,0.5066622494382338,0.3253981011666415,0.3124842099589249,1.3917601481809734,2.5282129458410014,2.135821824148036,0.3913043478260869,0.2173913043478261,-0.1941780394793089,0.7440616759670626,0.1941780394793089,-0.7440616759670626,0.18126414827159232,-1.136452797660028
alligator,0.6818181818181818,1.0,0.9545454545454546,0.2727272727272727,0.7727272727272727,0.7272727272727273,0.2897777215577528,0.0206158993208546,0.047833763937801,1.9749375012019268,0.3095434291503252,0.6143694458867568,0.2727272727272728,0.4545454545454546,-0.24194395761995177,-1.36056805531517,0.24194395761995177,1.36056805531517,0.26916182223689816,1.6653940720516016
almond,0.5,0.9166666666666666,1.0,0.0,0.4166666666666667,0.4166666666666667,0.6115434762122582,0.2468009816071656,0.3032595776516148,2.94770277922009,2.2221915755066783,2.4040097573248604,0.5,0.4166666666666667,-0.3082838985606434,-0.5436930218952294,0.3082838985606434,0.5436930218952294,0.36474249460509267,0.7255112037134115
aloe,0.1363636363636363,1.0,0.9545454545454546,0.0454545454545454,0.3636363636363636,0.3636363636363636,0.5685788368316739,0.1736243485201697,0.2189038833071732,3.6901165175936654,1.9037016960573483,2.2464393446710154,0.8181818181818183,0.3181818181818182,-0.3496749535245007,-1.44367717292265,0.3496749535245007,1.44367717292265,0.39495448831150415,1.7864148215363171
alpaca,0.8421052631578947,0.9473684210526316,1.0,0.1052631578947368,0.2631578947368421,0.2105263157894736,0.1565376283397209,0.0932460350101696,0.1049017893864408,1.7382689280764647,1.3995812306460644,1.3382689280764646,0.1578947368421053,0.1052631578947368,-0.0516358389532801,-0.40000000000000013,0.0516358389532801,0.40000000000000013,0.0632915933295513,0.3386876974304003
altar,0.3333333333333333,0.9047619047619048,0.65,0.0,0.238095238095238,0.2,0.7001752983041174,0.4173119139421099,0.4871189062493894,2.278351811711312,2.552179697066548,3.2210972500579564,0.3166666666666667,0.2,-0.21305639205472798,0.9427454383466443,0.21305639205472798,-0.9427454383466443,0.2828633843620075,-0.2738278853552356
aluminum_foil,0.1904761904761904,1.0,0.6666666666666666,0.0,0.0,0.0,0.6948193415391265,0.0953568508428161,0.2892403592793867,3.577819531114783,1.5016144718101818,2.646782221599798,0.4761904761904762,0.0,-0.4055789822597398,-0.9310373095149851,0.4055789822597398,0.9310373095149851,0.5994624906963104,2.076205059304601
amber,0.2222222222222222,0.5,0.5555555555555556,0.0,0.0,0.0,0.631025345034421,0.5467163718081122,0.5723375169186321,2.8962915290459277,3.0220552088742,2.873140679513133,0.33333333333333337,0.0,-0.058687828115788876,-0.02315084953279456,0.058687828115788876,0.02315084953279456,0.08430897322630881,-0.1257636798282724
ambulance,0.9166666666666666,1.0,1.0,0.375,0.7916666666666666,0.875,0.2210535063275066,0.0216268292868507,0.019660753897137,1.4618381992568747,0.2863969571159562,0.266764987803026,0.08333333333333337,0.5,-0.20139275243036958,-1.1950732114538487,0.20139275243036958,1.1950732114538487,0.1994266770406559,1.1754412421409186
